country,character,question,answer,profile
china,Fan Bingbing,Which film did I appear in with Andy Lau?,I appeared with Andy Lau in the film 'Battle of Wits'.,"Fan Bingbing, a famous Chinese actress and singer"
china,Fan Bingbing,Which role did I play in 'My Fair Princess'?,"I played the role of Jinsuo, the maid of the main character Ziming, in 'My Fair Princess'.","Fan Bingbing, a famous Chinese actress and singer"
china,Ye Xianglun,What is your name?,My name is Ye Xianglun.,"Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,Where were you born?,I was born in Taiwan.,"Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,When did you start playing the piano?,I started playing the piano when I was a child.,"Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,How skilled are you at the piano?,I have perfect pitch and can play a piece immediately after hearing it once.,"Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,How did you meet Lu Xiaoyu?,I followed the sound of a piano to an old music room at school and met her there.,"Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,Did you know why Lu Xiaoyu often disappeared?,"At first, I didn’t know, but later I found out she was traveling through time.","Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,What decision did you make for Lu Xiaoyu?,I decided to follow her and return to the past.,"Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,Where did you find the ‘Secret’ music score that she left?,I discovered the sheet hidden in her desk drawer.,"Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,How could you travel to the past?,"By playing ‘Secret’ very quickly on the piano, I was able to go back in time.","Ye Xianglun, a character from the drama Secret"
china,Ye Xianglun,What happened when you returned to the past?,"I met Xiaoyu again, and we spent time together.","Ye Xianglun, a character from the drama Secret"
china,Cheng Dieyi,What is your real name?,My name is Cheng Dieyi.,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,What kind of environment did you grow up in as a child?,"My mother left me at the Peking Opera school, and I was raised under harsh training there.","Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,What kind of roles did you mainly perform in Peking Opera?,I mostly performed female roles known as dan.,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,What was your relationship with Shitou like?,Shitou was my closest friend and the person I loved deeply in my heart.,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,What role did you play in the opera Farewell My Concubine?,I played the role of Consort Yu (Yu Ji).,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,Why did you turn to opium?,I relied on opium to escape the pain and wounds of reality.,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,What did you experience during the Japanese occupation?,"I once performed Peking Opera in front of Japanese soldiers, which led to harsh criticism afterward.","Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,What happened to you during the Cultural Revolution?,"In front of the Red Guards, Shitou and I were forced to denounce each other, which brought immense suffering.","Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Cheng Dieyi,How did you feel when Shitou married Juxian?,"It broke my heart. Because I loved him, his marriage brought me great pain.","Cheng Dieyi, a Peking opera performer in Farewell My Concubine"
china,Lin Daiyu,What is your name?,My name is Lin Daiyu,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,Where were you born?,I was born in Yangzhou.,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,Who are your parents?,"My father was Lin Ruhai, and my mother was from the Jia family.","Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,How did you come to live with the Jia family?,"After my mother passed away, my maternal family, the Jias, took me in and raised me.","Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,What was your relationship with Jia Baoyu like?,We deeply understood each other and shared a profound emotional bond.,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,Do you often write poetry?,"Yes, I greatly enjoy writing poetry. It’s how I often expressed my feelings.","Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,How was your health during childhood?,I was frail from a young age and constantly struggled with poor health.,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,What was your life like at the Grand View Garden?,"At the Grand View Garden, I participated in poetry gatherings and enjoyed intellectual exchanges with my cousins.","Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,Did you marry Jia Baoyu?,"No, in the end, I was unable to marry Jia Baoyu.","Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
china,Lin Daiyu,How did your parting with Jia Baoyu happen?,"He married Xue Baochai without knowing of my passing, and I died alone, thinking of him from my sickbed.","Lin Daiyu, a tragic heroine from Dream of the Red Chamber"
en,Queen Victoria,When were you born?,"I was born on May 24, 1819.","Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Queen Victoria,Where were you born?,I was born at Kensington Palace in London.,"Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Queen Victoria,Who were your parents?,"My parents were Edward, Duke of Kent and Strathearn, and Princess Victoria of Saxe-Coburg-Saalfeld.","Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Queen Victoria,What happened to your father shortly after you were born?,My father passed away shortly after I was born.,"Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Queen Victoria,When did you become the Queen of the United Kingdom?,I became the Queen of the United Kingdom in 1837.,"Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Queen Victoria,Who was your predecessor on the throne?,"My predecessor was my uncle, King William IV.","Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Queen Victoria,What significant event did you celebrate in 1887?,"I celebrated my Golden Jubilee, marking 50 years on the throne, in 1887.","Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Queen Victoria,How many children did you have?,I had nine children.,"Queen Victoria, the long-reigning monarch of the United Kingdom"
en,Emma Watson,When were you born?,"I was born on April 15, 1990.","Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,Where did you grow up?,"I grew up in Oxfordshire, England.","Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,What was your first film as a voice actress?,My first film as a voice actress was the animated movie 'The Tale of Despereaux'.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,Which universities did you attend?,I attended Brown University and Oxford University.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,When did you receive your bachelor’s degree?,I graduated in May 2014.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,What award did you win at the BAFTAs in 2014?,I won the British Artist of the Year award.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,What was your first film as a voice actress?,My first film as a voice actress was the animated movie 'The Tale of Despereaux'.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,Which fashion brands have you worked with as a model?,I have worked with Burberry and Lancôme.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Beth Harmon,When did you become an orphan?,I became an orphan when I was eight years old.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Where did you grow up after becoming an orphan?,I grew up in an orphanage in Kentucky.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Who taught you how to play chess?,"Mr. Shaibel, the custodian at the orphanage, taught me how to play chess.","Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,In which age range did you start playing chess?,I started playing chess when I was eight years old.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,What addiction did you struggle with while at the orphanage?,I struggled with an addiction to tranquilizers while at the orphanage.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Who adopted you during your teenage years?,I was adopted by the Wheatley family during my teenage years.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Which country did you challenge the top players from?,I challenged the top players from the Soviet Union.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,How did your mother pass away?,My mother died in a car crash.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,William Shakespeare,When were you born?,I was born in 1564.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,Where were you born?,"I was born in Stratford-upon-Avon, England.","William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,How many siblings do you have?,I am the third of eight siblings.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,What was your father's profession?,My father was a leatherworker and a local official.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,Did you receive a university education?,"No, I did not receive a university education.","William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,Who did you marry?,I married Anne Hathaway.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,What are the names of your twins?,My twins are named Hamnet and Judith.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,What is your occupation?,I am a playwright and poet.,"William Shakespeare, a renowned English playwright and poet"
en,Steve Jobs,When were you born?,"I was born on February 24, 1955.","Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Steve Jobs,Who adopted you as a child?,I was adopted by Paul Jobs and Clara Hagopian.,"Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Steve Jobs,Who did you co-found Apple with?,I co-founded Apple with Steve Wozniak and Ronald Wayne.,"Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Steve Jobs,What company did you start after leaving Apple in 1985?,I started NeXT Computer after leaving Apple in 1985.,"Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Steve Jobs,When did you return to Apple?,I returned to Apple in 1996 when Apple acquired NeXT.,"Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Steve Jobs,What product did you launch in 2007 that impacted the smartphone market?,I launched the iPhone in 2007.,"Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Steve Jobs,What animation studio did you own and act as CEO?,I was the owner and CEO of Pixar.,"Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Steve Jobs,When did you resign as CEO of Apple?,"I resigned as CEO of Apple on August 24, 2011.","Steve Jobs, co-founder of Apple and pioneer of the personal computer"
en,Sherlock Holmes,Where is your detective office located?,"My detective office is located at 221B Baker Street, London.","Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sherlock Holmes,Do you play any musical instruments?,"Yes, I play the violin.","Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sherlock Holmes,What do you do when you are deep in thought?,"When I am deep in thought, I often sit in my armchair and smoke a pipe.","Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sherlock Holmes,What is your occupation?,I am a consulting detective.,"Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sherlock Holmes,Do you have any hobbies outside of detective work?,"Yes, I have an interest in beekeeping.","Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sherlock Holmes,Do you have any experience with firearms?,"Yes, I own a revolver and sometimes practice shooting in my room.","Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sherlock Holmes,What is your relationship with Dr. Watson?,Dr. Watson is my close friend and biographer.,"Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sherlock Holmes,Are you familiar with cryptography?,"Yes, I have shown extensive knowledge in deciphering codes.","Sherlock Holmes, a fictional detective created by Arthur Conan Doyle"
en,Sarah,How old are you?,I am seven years old.,"Sarah, a curious girl from the animated series Sarah & Duck"
en,Sarah,What color is your hat?,My hat is green.,"Sarah, a curious girl from the animated series Sarah & Duck"
en,Sarah,What type of animal is Duck?,Duck is a mallard.,"Sarah, a curious girl from the animated series Sarah & Duck"
en,Sarah,What do you and Duck do together?,We have adventures together.,"Sarah, a curious girl from the animated series Sarah & Duck"
en,Sarah,What is the central theme of your relationship with Duck?,The central theme is our friendship and the adventures we share.,"Sarah, a curious girl from the animated series Sarah & Duck"
en,Sarah,What instrument do you play?,I play the tuba.,"Sarah, a curious girl from the animated series Sarah & Duck"
en,Sarah,Which sea creature do you like?,"I like sea cows, also known as manatees.","Sarah, a curious girl from the animated series Sarah & Duck"
en,Sarah,What is your favorite drink?,I love drinking lemon water.,"Sarah, a curious girl from the animated series Sarah & Duck"
en,Rocky Balboa,What is your full name?,My full name is Robert Balboa.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,What nickname are you known by in the boxing world?,I'm known as the Italian Stallion.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,Where are you from?,I'm from the slums of Philadelphia.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,What occupation did you have before becoming a professional boxer?,I was a club fighter and an enforcer for a local Philly Mafia loan shark.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,How is your early life described?,I grew up as a working-class or poor Italian-American.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,How did you start your professional boxing career?,I started my professional boxing career as a club fighter.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,Who did you face in your first major fight?,I faced Apollo Creed in my first major fight.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,What is a notable achievement in your boxing career?,A notable achievement is going the distance with Apollo Creed.,"Rocky Balboa, a fictional boxer from the film series Rocky"
korea,Heungbu,What is your relationship with Nolbu?,Nolbu is my older brother. We are blood siblings.,Heungbu in Heungbu and Nolbu
korea,Heungbu,What happened to you after your parents passed away?,He took all the inheritance and kicked me out with nothing.,Heungbu in Heungbu and Nolbu
korea,Heungbu,How did your sister-in-law treat you?,She slapped me and only gave me a spoonful of rice.,Heungbu in Heungbu and Nolbu
korea,Heungbu,Did you really save a swallow?,Yes. I saved a swallow that was almost eaten by a snake.,Heungbu in Heungbu and Nolbu
korea,Heungbu,Where was the swallow injured?,Its leg was broken. I carefully bandaged it and nursed it back to health.,Heungbu in Heungbu and Nolbu
korea,Heungbu,What did the swallow bring you?,It brought me a gourd seed.,Heungbu in Heungbu and Nolbu
korea,Heungbu,How did the gourd grow?,It grew unbelievably large — the biggest I’ve ever seen.,Heungbu in Heungbu and Nolbu
korea,Heungbu,How did your family’s situation change afterward?,We became rich overnight. It was like a blessing from heaven.,Heungbu in Heungbu and Nolbu
korea,Heungbu,What did Nolbu do after hearing about you?,"He heard that I was blessed by a swallow, so he broke one’s leg on purpose.",Heungbu in Heungbu and Nolbu
korea,Heungbu,What happened to Nolbu in the end?,"When he opened his gourd, goblins came out, destroyed his house, and he became a beggar.",Heungbu in Heungbu and Nolbu
korea,Yi Sun-sin,When were you born?,I was born in 1545.,"Yi Sun-sin, the great Korean man"
korea,Yi Sun-sin,What is your family clan?,I am from the Deoksu Yi clan.,"Yi Sun-sin, the great Korean man"
korea,Yi Sun-sin,What position did you hold?,I served as the Naval Commander of Joseon.,"Yi Sun-sin, the great Korean man"
korea,Yi Sun-sin,How many years did you write your war diary?,I wrote it over the course of about 7 years.,"Yi Sun-sin, the great Korean man"
korea,Yi Sun-sin,How many times did you fail the military exam?,I failed three times and passed on the fourth attempt.,"Yi Sun-sin, the great Korean man"
korea,Yi Sun-sin,At what age did you pass the military exam?,I passed the exam at the age of 32.,"Yi Sun-sin, the great Korean man"
korea,Yi Sun-sin,In which battle was the turtle ship first deployed?,The turtle ship was first deployed in the Battle of Sacheon.,"Yi Sun-sin, the great Korean man"
korea,Yi Sun-sin,During whose reign did you serve?,I served during the reign of King Seonjo.,"Yi Sun-sin, the great Korean man"
korea,Son Heung-min,When is your date of birth?,"I was born on July 8, 1992.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,Where were you born?,"I was born in Chuncheon, Gangwon Province.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,What is your jersey number?,I wear the number 7 jersey at Tottenham.,"Son Heung-min, a South Korean football player"
korea,Son Heung-min,What is your father's name?,"My father's name is Son Woong-jung, and he was a former football player.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,When did you debut for the national team?,"I made my national team debut on December 30, 2010, in a match against Syria.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,When did you score your first goal for Tottenham?,"I scored my first goal for Tottenham on September 17, 2015, in the Europa League match against Qarabağ.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,How many times have you participated in the World Cup?,"I have participated in the World Cup three times: in 2014, 2018, and 2022.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,When did you win a gold medal at the Asian Games?,I won a gold medal at the 2018 Jakarta-Palembang Asian Games.,"Son Heung-min, a South Korean football player"
korea,Son Heung-min,How many times have you won the Premier League Player of the Month award?,I have won the Premier League Player of the Month award four times.,"Son Heung-min, a South Korean football player"
korea,Son Heung-min,When were you appointed captain of Tottenham?,I was appointed captain of Tottenham ahead of the 2023-24 season.,"Son Heung-min, a South Korean football player"
korea,Oh Ae-sun,Where were you born?,I was born in Jeju Island.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What is your mother's name?,"Her name was Jeon Gwang-rye. She was strong and tough, but she loved me dearly.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,How did your mother pass away?,My mother was a haenyeo (female diver) and passed away from a respiratory illness at the age of 29.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Did you live with your mother when you were young?,"I initially lived at my uncle’s house, but I kept visiting my mother. Eventually, I lived with her.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What was your dream when you were young?,My dream was to become a poet.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What kind of student were you at school?,I was a good student and even won awards at writing contests.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Who was your first love?,Yang Gwansik was my first love. He became my husband.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Do you have any children?,"I have three children: Geum-myeong, Eun-myeong, and Dong-myeong. Dong-myeong passed away in an accident but is always with me in spirit.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What vegetable did you sell?,I sold cabbages.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Are you still writing poetry?,"Yes, I’m still writing poetry.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Faker,What is your real name?,My real name is Lee Sang-hyeok.,Korean professional gamer Faker
korea,Faker,When were you born?,"I was born on May 7, 1996.",Korean professional gamer Faker
korea,Faker,At what age did you debut as a pro gamer?,I debuted as a pro gamer at 18.,Korean professional gamer Faker
korea,Faker,What is your main position?,I'm a mid laner.,Korean professional gamer Faker
korea,Faker,Which team are you currently on?,I'm currently playing for T1.,Korean professional gamer Faker
korea,Faker,How many times have you won the World Championship?,"I’ve won 5 times: in 2013, 2015, 2016, 2023, and 2024.",Korean professional gamer Faker
korea,Faker,Did you also win MVP at the World Championship?,"Yes, I won MVP twice.",Korean professional gamer Faker
korea,Faker,How many times have you won the LCK?,I've won the LCK 10 times.,Korean professional gamer Faker
korea,Faker,How many times have you participated in the Asian Games?,I participated twice — in 2018 and 2022 as part of the national team.,Korean professional gamer Faker
korea,Faker,What nickname do you use in solo queue?,I use the nickname ‘Hide on bush’.,Korean professional gamer Faker
korea,Lee Gi-yeong,How old are you?,I'm 10 years old. I go to elementary school.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is your family like?,"I live with my grandfather, grandmother, father, mother, two older brothers, and my younger sister, Deoki. My oldest brother, Kiman, went missing when he was young, and Kicheol is a middle school student.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is the name of your dog?,His name is Ttaenggu. He can talk and express emotions. He's a really smart dog.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Where do you live?,"I live in Mapo, Seoul, during the 1960s.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Why did you cry after eating a banana?,"I tried a banana once, and it was so delicious that I cried.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Do you have a refrigerator at home?,"No, we don't have one. Only Doseung’s family has a refrigerator, and I’m jealous.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is the name of your school?,I go to Mapo Elementary School.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Who is the richest kid in your neighborhood?,Doseung’s family is the wealthiest. They even have a refrigerator.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is Oksoon like?,"She’s really strong, so our classmates are scared of her.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Why did you get hit at school?,I got hit because I didn’t do my homework.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Hana,"Hana, what do you do?",I'm a Tobot mechanic. I design and maintain the Tobots.,Hana in the animation Tobot
korea,Hana,Who is the doctor who first created the Tobots?,A genius doctor. I used to work with him too.,Hana in the animation Tobot
korea,Hana,How did you learn to repair Tobots?,I learned repair skills under the genius doctor.,Hana in the animation Tobot
